,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Color,Image_link
912,912,912,688,29488788,BESTÅ,TV & media furniture,"SR3,165",No old price,True,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-white-selsviken-high-gloss-white-clear-glass-s29488788/,Yes,"TV storage combination/glass doors, white/Selsviken high-gloss/white clear glass,",Unknown,,,,White/selsviken high-gloss/white clear glass,
913,913,913,689,99476796,BESTÅ,TV & media furniture,"SR3,495",No old price,True,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-white-lappviken-s99476796/,No,"TV storage combination, white/Lappviken,",Unknown,,,,White/lappviken,
914,914,914,690,69420305,BESTÅ,TV & media furniture,"SR1,730",No old price,True,https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-and-door-white-kallviken-dark-grey-s69420305/,Yes,"TV bench with drawers and door, white/Kallviken dark grey,",Unknown,,,,White/kallviken dark grey,
915,915,915,691,39485826,HAUGA,Beds,"SR3,825",No old price,True,https://www.ikea.com/sa/en/p/hauga-bedroom-furniture-set-of-5-vissle-grey-s39485826/,No,"Bedroom furniture, set of 5, Vissle grey,",Unknown,,,,Set of 5,
916,916,916,692,20569232,HATTÅSEN,Chests of drawers & drawer units,SR125,No old price,True,https://www.ikea.com/sa/en/p/hattasen-bedside-table-shelf-unit-light-beige-20569232/,Yes,"Bedside table/shelf unit, light beige",Zhelin Lian,43.0,58.0,27.0,Light beige,
917,917,917,693,99432967,PAX / MEHAMN,Wardrobes,"SR2,425","SR2,475",True,https://www.ikea.com/sa/en/p/pax-mehamn-wardrobe-combination-white-double-sided-white-stained-oak-effect-s99432967/,No,"Wardrobe combination, white/double sided white stained oak effect,",Unknown,,,,White/double sided white stained oak effect,
918,918,918,694,90416014,TOMMARYD,Dining furniture,SR395,No old price,True,https://www.ikea.com/sa/en/p/tommaryd-table-top-anthracite-90416014/,Yes,"Table top, anthracite,",Maja Ganszyniec,130.0,,70.0,Anthracite,
919,919,919,695,69336359,EKET,Chests of drawers & drawer units,SR229,No old price,True,https://www.ikea.com/sa/en/p/eket-wall-cabinet-with-glass-door-dark-grey-s69336359/,Yes,"Wall cabinet with glass door, dark grey,",IKEA of Sweden/Jon Karlsson,,,,Dark grey,
920,920,920,696,29287445,BILLY / OXBERG,Bookcases & shelving units,SR778,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-glass-door-white-glass-s29287445/,Yes,"Bookcase with glass door, white/glass,",IKEA of Sweden,,,,White/glass,
921,921,921,697,40498432,TULLSTORP,Dining furniture,SR495,No old price,True,https://www.ikea.com/sa/en/p/tullstorp-cabinet-grey-40498432/,No,"Cabinet, grey,",Friso Wiersma,35.0,89.0,99.0,Grey,
922,922,922,698,20305707,BUSUNGE,Nursery furniture,SR995,No old price,True,https://www.ikea.com/sa/en/p/busunge-wardrobe-white-20305707/,No,"Wardrobe, white,",Carl Öjerstam,52.0,139.0,80.0,White,
923,923,923,699,79544268,DANDERYD / DANDERYD,Dining furniture,"SR3,673",No old price,True,https://www.ikea.com/sa/en/p/danderyd-danderyd-table-and-6-chairs-white-vissle-grey-s79544268/,Yes,"Table and 6 chairs, white/Vissle grey,",Unknown,,,,White/vissle grey,
924,924,924,700,80488737,VIHALS,Chests of drawers & drawer units,SR245,No old price,True,https://www.ikea.com/sa/en/p/vihals-bedside-table-white-80488737/,No,"Bedside table, white,",Ola Wihlborg,37.0,58.0,37.0,White,
