,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Color,Image_link
0,0,0,0,79265945,HAVSTA,"Sideboards, buffets & console tables",1950.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-white-s79265945/,Yes,"        Storage combination w glass doors,          162x37x134 cm",IKEA of Sweden,37.0,134.0,162.0,White,"https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0720158_pe732452_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0846159_pe718300_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0730888_pe737834_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-white__0675362_pe718286_s5.jpg?f=s"
1,1,1,2,60246080,JANINGE,Chairs,180.0,SR 225,True,https://www.ikea.com/sa/en/p/janinge-chair-yellow-60246080/,No,        Chair,John/Jonas/Petrus/Paul/Caroline,46.0,76.0,50.0,"White,Yellow","https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0728157_pe736124_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0750191_ph158828_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0750188_ph129152_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0750196_ph129430_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__1053287_pe846877_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__1053288_pe846878_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__0874315_pe590611_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/janinge-chair-yellow__1053286_pe846876_s5.jpg?f=s"
2,2,2,3,20334314,BILLSBRO,Cabinets & cupboards,15.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,No,"        Handle,          40 mm",H Preutz/A Fredriksson,,,,"Stainless steel colour,White","https://www.ikea.com/sa/en/images/products/billsbro-handle-white__0754303_pe747884_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/billsbro-handle-white__0872222_pe719905_s5.jpg?f=s"
3,3,3,4,50282177,LACK,Bookcases & shelving units,19.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,Yes,"        Wall shelf,          30x26 cm",IKEA of Sweden,26.0,5.0,,White,"https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0641086_pe700251_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0675547_pe718390_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0670320_pe715445_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/lack-wall-shelf-white__0670325_pe715453_s5.jpg?f=s"
4,4,4,6,89283005,BROR,Bookcases & shelving units,670.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinets-black-s89283005/,No,"        Shelving unit with cabinets,          85x40x110 cm",IKEA of Sweden,40.0,110.0,85.0,Black,"https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0675863_pe718509_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0909899_pe718507_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0910732_pe718505_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__0910749_pe718508_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bror-shelving-unit-with-cabinets-black__1096861_pe864562_s5.jpg?f=s"
5,5,5,8,40266682,BOSNÄS,Sofas & armchairs,95.0,No old price,True,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,Yes,        Footstool with storage,IKEA of Sweden,,36.0,36.0,Ransta black,"https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__0241131_pe381202_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__1040486_ph161633_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__1040483_ph163545_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bosnaes-footstool-with-storage-ransta-black__1040478_ph166511_s5.jpg?f=s"
6,6,6,12,20045205,SNIGLAR,Tables & desks,145.0,No old price,True,https://www.ikea.com/sa/en/p/sniglar-changing-table-beech-white-20045205/,No,"        Changing table,          72x53 cm",IKEA of Sweden,,87.0,53.0,Beech/white,"https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0627299_pe693283_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0996511_pe822557_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0948638_ph157791_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__1095877_pe864073_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0874168_pe611038_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__1191088_pe900454_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sniglar-changing-table-beech-white__0743727_ph157789_s5.jpg?f=s"
7,7,7,16,80336466,KROKHOLMEN,Outdoor furniture,175.0,No old price,True,https://www.ikea.com/sa/en/p/krokholmen-coffee-table-outdoor-beige-80336466/,No,"        Coffee table, outdoor",Marcus Arvonen,,44.0,,Outdoor,"https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0736456_pe740544_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0673257_pe717137_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0795603_ph165852_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0789771_ph159263_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0622854_ph148350_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0906021_pe675871_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0906100_pe668447_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/krokholmen-coffee-table-outdoor-beige__0943748_pe797032_s5.jpg?f=s"
8,8,8,19,59829111,POÄNG,Sofas & armchairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/poaeng-footstool-birch-veneer-robust-glose-dark-brown-s59829111/,Yes,        Footstool,Noboru Nakamura,54.0,39.0,68.0,Birch veneer/glose dark brown,"https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__55433_pe160519_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0841102_pe601079_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0842763_pe585369_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0840366_pe585885_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/poaeng-footstool-birch-veneer-glose-dark-brown__0915287_pe784683_s5.jpg?f=s"
9,9,9,20,89305173,NORDVIKEN / NORRARYD,Tables & desks,2535.0,"SR 2,795",True,https://www.ikea.com/sa/en/p/nordviken-norraryd-table-and-4-chairs-white-black-s89305173/,No,"        Table and 4 chairs,          152/223x95 cm",Nike Karlsson/Francis Cayouette,,,95.0,White/black,"https://www.ikea.com/sa/en/images/products/nordviken-norraryd-table-and-4-chairs-white-black__0747593_pe744613_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/nordviken-norraryd-table-and-4-chairs-white-black__0947713_pe798625_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/nordviken-norraryd-table-and-4-chairs-white-black__0949342_pe799652_s5.jpg?f=s"
10,10,10,22,385314,SANDARED,Sofas & armchairs,245.0,No old price,True,https://www.ikea.com/sa/en/p/sandared-pouffe-beige-00385314/,No,"        Pouffe,          45 cm",Synnöve Mork,,33.0,,Beige,"https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0560902_pe662686_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0934617_ph165705_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0934616_ph165706_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0648023_ph150515_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0685410_ph150598_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0685409_ph152109_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0841666_pe662689_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/sandared-pouffe-beige__0841668_pe662690_s5.jpg?f=s"
11,11,11,24,20396260,GRÖNLID,Sofas & armchairs,170.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-inseros-white-20396260/,Yes,        Cover for corner section,Francis Cayouette,,,,Inseros white,"https://www.ikea.com/sa/en/images/products/groenlid-cover-for-corner-section-inseros-white__0577139_pe668613_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/groenlid-cover-for-corner-section-inseros-white__0820745_pe666600_s5.jpg?f=s"
12,12,12,25,50411990,GLADOM,Tables & desks,59.0,No old price,True,https://www.ikea.com/sa/en/p/gladom-tray-table-black-50411990/,Yes,"        Tray table,          45x53 cm",Chenyi Ke,,53.0,,Black,"https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__0567223_pe664991_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__0837078_pe664995_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__0837072_pe664992_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__0802833_ph163155_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__1058801_ph163156_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__0709540_ph153583_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/gladom-tray-table-black__0731682_pe738389_s5.jpg?f=s"
13,13,13,26,60347507,ENERYDA,TV & media furniture,35.0,No old price,True,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-60347507/,Yes,"        Knob,          35 mm",Francis Cayouette,,,,Brass-colour,"https://www.ikea.com/sa/en/images/products/eneryda-knob-brass-colour__0754161_pe747803_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/eneryda-knob-brass-colour__0718656_pe731625_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/eneryda-knob-brass-colour__0872106_pe719927_s5.jpg?f=s"
14,14,14,28,70370352,MOSSARYD,Cabinets & cupboards,29.0,No old price,True,https://www.ikea.com/sa/en/p/mossaryd-drop-handle-stainless-steel-colour-70370352/,No,"        Drop handle,          49 mm",Francis Cayouette,18.0,,,Stainless steel colour,"https://www.ikea.com/sa/en/images/products/mossaryd-drop-handle-stainless-steel-colour__1285105_pe933190_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/mossaryd-drop-handle-stainless-steel-colour__0872419_pe719933_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/mossaryd-drop-handle-stainless-steel-colour__0872414_pe655536_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/mossaryd-drop-handle-stainless-steel-colour__0719504_pe732083_s5.jpg?f=s"
15,15,15,30,89227873,PAX,Wardrobes,1499.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-s89227873/,Yes,"        Wardrobe,          150x58x201 cm",Ehlén Johansson/IKEA of Sweden,58.0,201.0,150.0,White,"https://www.ikea.com/sa/en/images/products/pax-wardrobe-white__0563729_pe663962_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/pax-wardrobe-white__0570074_ph144610_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/pax-wardrobe-white__0563730_pe663961_s5.jpg?f=s"
16,16,16,32,79286896,BEKANT,Cabinets & cupboards,1200.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-black-s79286896/,Yes,"        Storage unit with smart lock,          41x101 cm",IKEA of Sweden/Eva Lilja Löwenhielm,45.0,101.0,41.0,Mesh black,"https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0644248_pe702503_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0711318_ph154676_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0855859_pe713868_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0856072_pe713932_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0856057_pe723967_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0855855_pe713863_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0855842_pe713862_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0686309_pe721754_s5.jpg?f=s"
17,17,17,34,30446373,SLATTUM,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,Yes,"        Upholstered bed frame,          140x200 cm",David Wahl,,,144.0,Knisa light grey,"https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__0768244_pe754388_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__0726726_pe735401_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__1101373_pe866633_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__0800854_ph163486_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__1101374_pe866634_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__1101375_pe866635_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/slattum-upholstered-bed-frame-knisa-light-grey__0726737_pe735411_s5.jpg?f=s"
18,18,18,37,79248319,IVAR,Bookcases & shelving units,440.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-2-sections-shelves-pine-s79248319/,No,"        2 sections/shelves,          134x30x179 cm",IKEA of Sweden,30.0,179.0,134.0,Pine,"https://www.ikea.com/sa/en/images/products/ivar-2-sections-shelves-pine__0139236_pe299069_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ivar-2-sections-shelves-pine__0911569_pe669749_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ivar-2-sections-shelves-pine__1192699_pe901222_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ivar-2-sections-shelves-pine__1097456_pe864953_s5.jpg?f=s"
19,19,19,41,39279567,EKEDALEN / EKEDALEN,Chairs,2345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey-s39279567/,No,"        Table and 6 chairs,          180/240 cm",Ehlén Johansson,,,,Dark brown/orrsta light grey,"https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__0737435_pe741051_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__0870618_pe716761_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__0870622_pe716775_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__0870847_pe640491_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__1052573_pe846228_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__1052572_pe846227_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__0870838_pe640441_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey__0947753_pe798634_s5.jpg?f=s"
20,20,20,42,9265920,HAVSTA,Cabinets & cupboards,2980.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-dark-brown-s09265920/,Yes,"        Storage combination w glass doors,          203x47x212 cm",IKEA of Sweden,47.0,212.0,203.0,Dark brown,"https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0626962_pe693110_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0844414_pe693127_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0844410_pe693108_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0844042_pe692322_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0843299_pe692329_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0844087_pe692969_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0770810_pe755624_s5.jpg?f=s,https://www.ikea.com/sa/en/images/products/havsta-storage-combination-w-glass-doors-dark-brown__0844384_pe694801_s5.jpg?f=s"
21,21,21,43,80214549,MALM,Chests of drawers & drawer units,165.0,No old price,True,https://www.ikea.com/sa/en/p/malm-chest-of-2-drawers-white-80214549/,Yes,"        Chest of 2 drawers,          40x55 cm",IKEA of Sweden,48.0,55.0,40.0,White,
22,22,22,44,397736,NORRARYD,Café furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"        Bar stool with backrest,          74 cm",Nike Karlsson,47.0,103.0,46.0,Black,
23,23,23,51,39218512,PAX,Wardrobes,1410.0,No old price,True,https://www.ikea.com/sa/en/p/pax-corner-wardrobe-white-grimo-white-s39218512/,No,"        Corner wardrobe,          111/111x236 cm",IKEA of Sweden/Ehlén Johansson/Ola Wihlborg,,236.0,110.0,White/white,
24,24,24,52,70418170,PRÄSTHOLM,Outdoor furniture,695.0,No old price,True,https://www.ikea.com/sa/en/p/praestholm-bench-with-backrest-outdoor-grey-70418170/,No,"        Bench with backrest, outdoor",Ola Wihlborg,52.0,79.0,113.0,Outdoor,
25,25,25,54,70455412,KORNSJÖ,Tables & desks,195.0,No old price,True,https://www.ikea.com/sa/en/p/kornsjoe-side-table-black-70455412/,No,"        Side table,          50x35 cm",Ebba Strandmark,35.0,63.0,50.0,Black,
26,26,26,55,89297663,JONAXEL,Bookcases & shelving units,670.0,SR 671,True,https://www.ikea.com/sa/en/p/jonaxel-frame-w-bskts-clths-rl-shlv-uts-s89297663/,No,"        Frame/w bskts/clths rl/shlv uts,          173x51x173 cm",IKEA of Sweden,51.0,173.0,173.0,White,
27,27,27,58,80411272,VITVAL,Beds,1295.0,No old price,True,https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-white-light-grey-80411272/,No,"        Bunk bed frame,          90x200 cm",IKEA of Sweden,,162.0,97.0,White/light grey,
28,28,28,59,90184047,MARIUS,Chairs,25.0,No old price,True,https://www.ikea.com/sa/en/p/marius-stool-white-90184047/,No,        Stool,Ola Wihlborg,,,40.0,White,
29,29,29,60,89297229,NORRÅKER / RÖNNINGE,Chairs,1976.0,"SR 2,125",True,https://www.ikea.com/sa/en/p/norraker-roenninge-table-and-4-chairs-birch-birch-s89297229/,No,"        Table and 4 chairs,          125x74 cm",J Karlsson/N Karlsson/Maja Ganszyniec,,,74.0,Birch/birch,
30,30,30,62,10357004,KALLRÖR,Cabinets & cupboards,35.0,No old price,True,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-10357004/,No,"        Handle,          405 mm",IKEA of Sweden,38.0,,,Stainless steel,
31,31,31,63,49061228,BESTÅ,Bookcases & shelving units,510.0,No old price,True,https://www.ikea.com/sa/en/p/besta-tv-bench-black-brown-s49061228/,Yes,"        TV bench,          120x40x48 cm",IKEA of Sweden,40.0,48.0,120.0,Black-brown,
32,32,32,66,29239497,NORDLI,Chests of drawers & drawer units,920.0,"SR 1,150",True,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-s29239497/,No,"        Chest of 6 drawers,          120x54 cm",Ola Wihlborg,47.0,54.0,120.0,White,
33,33,33,68,80404672,VOLFGANG,Chairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/volfgang-chair-chrome-plated-gunnared-medium-grey-80404672/,No,        Chair,"804.046.72 You sit comfortably thanks to the restful flexibility of the seat.You sit comfortably thanks to the padded seat.This chair has been tested for home use and meets the requirements for durability and safety, set forth in the following standards: EN 12520 and EN 1022.",53.0,90.0,50.0,Chrome-plated/gunnared medium grey,
34,34,34,69,90399284,RIMFORSA,Trolleys,1995.0,No old price,True,https://www.ikea.com/sa/en/p/rimforsa-work-bench-stainless-steel-bamboo-90399284/,No,"        Work bench,          120x63.5x92 cm",Ehlén Johansson,,92.0,63.0,Stainless steel/bamboo,
35,35,35,70,49228474,FANBYN,Chairs,275.0,No old price,True,https://www.ikea.com/sa/en/p/fanbyn-chair-s49228474/,No,        Chair,492.284.74 Suitable for both indoor and outdoor use.You sit comfortably thanks to the chair's shaped back and seat.,,,,White/in/outdoor,
36,36,36,71,20400691,BRIMNES,Beds,575.0,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-20400691/,No,"        Bed frame with storage,          90x200 cm",K Hagberg/M Hagberg,54.0,47.0,96.0,White,
37,37,37,72,60428990,NORRÅKER,Chairs,295.0,No old price,True,https://www.ikea.com/sa/en/p/norraker-bench-birch-60428990/,No,"        Bench,          103 cm",J Karlsson/N Karlsson,,45.0,29.0,Birch,
38,38,38,73,10362963,SLÄKT,Beds,425.0,No old price,True,https://www.ikea.com/sa/en/p/slaekt-pouffe-mattress-foldable-10362963/,No,"        Pouffe/mattress, foldable",Gustav Carlberg,,,62.0,Foldable,
39,39,39,74,50334317,BILLSBRO,Bookcases & shelving units,45.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-50334317/,Yes,"        Handle,          520 mm",H Preutz/A Fredriksson,,,,White,
40,40,40,75,338412,BAGGANÄS,Bookcases & shelving units,27.0,No old price,True,https://www.ikea.com/sa/en/p/bagganaes-knob-brass-colour-00338412/,Yes,"        Knob,          21 mm",H Preutz/A Fredriksson,24.0,,21.0,Brass-colour,
41,41,41,79,90325518,KULLABERG,Chairs,220.0,SR 275,True,https://www.ikea.com/sa/en/p/kullaberg-swivel-chair-black-90325518/,No,        Swivel chair,Sarah Fager,58.0,,58.0,Black,
42,42,42,80,69221438,EKEDALEN / ODGER,Chairs,1975.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-4-chairs-brown-white-beige-s69221438/,No,"        Table and 4 chairs,          120/180 cm",Ehlén Johansson/J Löfgren/J Pettersson,,,,Brown/white beige,
43,43,43,81,20387939,HOLMSUND,Sofas & armchairs,550.0,No old price,True,https://www.ikea.com/sa/en/p/holmsund-cover-for-corner-sofa-bed-orrsta-light-white-grey-20387939/,Yes,        Cover for corner sofa-bed,K Hagberg/M Hagberg,,,,Orrsta light white-grey,
44,44,44,85,10245846,BESTÅ,Bookcases & shelving units,225.0,No old price,True,https://www.ikea.com/sa/en/p/besta-frame-white-10245846/,Yes,"        Frame,          120x40x64 cm",IKEA of Sweden,40.0,64.0,120.0,White,
45,45,45,86,90294989,SKUBB,Bookcases & shelving units,49.0,No old price,True,https://www.ikea.com/sa/en/p/skubb-storage-case-white-90294989/,No,"        Storage case,          69x55x19 cm",IKEA of Sweden,55.0,19.0,69.0,White,
46,46,46,89,50334303,BILLSBRO,TV & media furniture,25.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-50334303/,No,"        Handle,          120 mm",H Preutz/A Fredriksson,,,,White,
47,47,47,91,19221450,EKEDALEN / EKEDALEN,Tables & desks,2345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-brown-orrsta-light-grey-s19221450/,No,"        Table and 6 chairs,          180/240 cm",Ehlén Johansson,,,,Brown/orrsta light grey,
48,48,48,94,50434307,LUBBAN,Tables & desks,275.0,No old price,True,https://www.ikea.com/sa/en/p/lubban-trolley-table-with-storage-rattan-anthracite-50434307/,No,        Trolley table with storage,A Fredriksson/J Hultqvist/W Chong,,66.0,50.0,Rattan/anthracite,
49,49,49,96,29239505,NORDLI,Chests of drawers & drawer units,1540.0,"SR 1,925",True,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-s29239505/,Yes,"        Chest of 8 drawers,          160x99 cm",Ola Wihlborg,47.0,99.0,160.0,White,
50,50,50,97,39261874,LÅNGFJÄLL,Chairs,795.0,No old price,True,https://www.ikea.com/sa/en/p/langfjaell-office-chair-with-armrests-gunnared-light-brown-pink-black-s39261874/,Yes,        Office chair with armrests,Eva Lilja Löwenhielm,68.0,,68.0,Gunnared light brown-pink/black,
51,51,51,100,20278167,KALLAX,Bookcases & shelving units,50.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-insert-with-door-white-20278167/,Yes,"        Insert with door,          33x33 cm",Tord Björklund,37.0,33.0,33.0,White,
52,52,52,101,60102067,LYCKSELE HÅVET,Beds,795.0,No old price,True,https://www.ikea.com/sa/en/p/lycksele-havet-mattress-60102067/,No,"        Mattress,          140x188 cm",IKEA of Sweden,,,,,
53,53,53,102,30428982,NORRÅKER,Café furniture,596.0,SR 745,True,https://www.ikea.com/sa/en/p/norraker-table-birch-30428982/,No,"        Table,          125x74 cm",J Karlsson/N Karlsson,,74.0,74.0,Birch,
54,54,54,104,69253108,FRÖSÖN/DUVHOLMEN,Outdoor furniture,88.0,No old price,True,https://www.ikea.com/sa/en/p/froesoen-duvholmen-back-cushion-outdoor-dark-grey-s69253108/,Yes,"        Back cushion, outdoor,          62x44 cm",Eva Lilja Löwenhielm/IKEA of Sweden,,,62.0,Outdoor,
55,55,55,107,40309573,STUK,Bookcases & shelving units,35.0,No old price,True,https://www.ikea.com/sa/en/p/stuk-storage-case-white-grey-40309573/,No,"        Storage case,          55x51x18 cm",IKEA of Sweden,51.0,18.0,55.0,White/grey,
56,56,56,108,10091453,TROFAST,Children's furniture,275.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-frame-white-10091453/,No,"        Frame,          99x44x94 cm",Studio Copenhagen,44.0,94.0,99.0,White,
