item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
50357785,UTTER,Outdoor furniture,25,No old price,TRUE,https://www.ikea.com/sa/en/p/utter-childrens-stool-in-outdoor-white-50357785/,No,        Children's stool,K Hagberg/M Hagberg,,,
90222407,INGATORP,Tables & desks,945,No old price,TRUE,https://www.ikea.com/sa/en/p/ingatorp-extendable-table-black-90222407/,No,"        Extendable table,          155/215x87 cm",Carina Bengs,,74,87
90213078,MICKE,Chests of drawers & drawer units,245,No old price,TRUE,https://www.ikea.com/sa/en/p/micke-drawer-unit-on-castors-white-90213078/,Yes,"        Drawer unit on castors,          35x75 cm",Henrik Preutz,50,75,35
99157370,ELVARLI,Wardrobes,1245,"SR 1,355",TRUE,https://www.ikea.com/sa/en/p/elvarli-3-sections-white-s99157370/,No,"        3 sections,          258x51x222-350 cm",Ehlén Johansson,50,,258
69286806,BEKANT,Cabinets & cupboards,1000,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-white-s69286806/,Yes,"        Storage unit with smart lock,          41x61 cm",IKEA of Sweden/Eva Lilja Löwenhielm,45,61,41
50342478,HACKÅS,Cabinets & cupboards,50,No old price,FALSE,https://www.ikea.com/sa/en/p/hackas-handle-anthracite-50342478/,No,"        Handle,          300 mm",J Löfgren/J Pettersson,18,,24
49133579,IVAR,Bookcases & shelving units,365,No old price,TRUE,https://www.ikea.com/sa/en/p/ivar-1-section-bottle-racks-pine-grey-s49133579/,No,"        1 section/bottle racks,          89x30x124 cm",IKEA of Sweden/Sarah Fager,30,124,89
40337694,BRIMNES,TV & media furniture,425,No old price,TRUE,https://www.ikea.com/sa/en/p/brimnes-tv-bench-white-40337694/,Yes,"        TV bench,          120x41x53 cm",K Hagberg/M Hagberg,41,53,120
50365177,MAMMUT,Tables & desks,129,No old price,TRUE,https://www.ikea.com/sa/en/p/mammut-childrens-table-in-outdoor-white-50365177/,No,"        Children's table,          77x55 cm",M Kjelstrup/A Östgaard,,48,55
351248,BESTÅ,Bookcases & shelving units,75,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-drawer-frame-black-brown-00351248/,Yes,"        Drawer frame,          60x25x40 cm",IKEA of Sweden,40,25,60
40348715,BESTÅ,Cabinets & cupboards,25,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-drawer-runner-soft-closing-40348715/,No,"        Drawer runner, soft-closing",IKEA of Sweden,,,
20281631,RISATORP,Trolleys,245,No old price,TRUE,https://www.ikea.com/sa/en/p/risatorp-trolley-white-20281631/,No,"        Trolley,          57x39x86 cm",Wiebke Braasch,,86,39
79189150,EKET,Bookcases & shelving units,1044,No old price,TRUE,https://www.ikea.com/sa/en/p/eket-wall-mounted-cabinet-combination-dark-grey-s79189150/,Yes,"        Wall-mounted cabinet combination,          175x35x210 cm",IKEA of Sweden/Jon Karlsson,35,210,175
80361564,VANGSTA,Tables & desks,545,No old price,TRUE,https://www.ikea.com/sa/en/p/vangsta-extendable-table-white-80361564/,No,"        Extendable table,          120/180x75 cm",IKEA of Sweden,,73,75
60245957,BESTÅ,Bookcases & shelving units,100,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-frame-black-brown-60245957/,Yes,"        Frame,          60x20x38 cm",IKEA of Sweden,20,38,60
20228709,BRIMNES,Beds,220,No old price,TRUE,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-20228709/,Yes,"        Headboard with storage compartment,          140 cm",K Hagberg/M Hagberg,28,111,146
90253535,AGAM,Children's furniture,195,No old price,TRUE,https://www.ikea.com/sa/en/p/agam-junior-chair-white-90253535/,No,        Junior chair,IKEA of Sweden,43,79,41
69287392,BILLY / OXBERG,Cabinets & cupboards,195,No old price,TRUE,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-door-white-s69287392/,Yes,"        Bookcase with door,          40x30x106 cm",Gillis Lundgren,30,106,40
70305700,BUSUNGE,Beds,795,No old price,TRUE,https://www.ikea.com/sa/en/p/busunge-extendable-bed-white-70305700/,No,"        Extendable bed,          80x200 cm",Carl Öjerstam,,,90
40463055,RÅSHULT,Trolleys,125,No old price,TRUE,https://www.ikea.com/sa/en/p/rashult-trolley-black-40463055/,No,"        Trolley,          38x28 cm",IKEA of Sweden,,65,28
60338414,BAGGANÄS,TV & media furniture,50,No old price,TRUE,https://www.ikea.com/sa/en/p/bagganaes-handle-black-60338414/,Yes,"        Handle,          335 mm",H Preutz/A Fredriksson,31,,9
29297227,STENSELE / NORRARYD,Tables & desks,1340,No old price,TRUE,https://www.ikea.com/sa/en/p/stensele-norraryd-bar-table-and-2-bar-stools-anthracite-anthracite-black-s29297227/,No,        Bar table and 2 bar stools,Nike Karlsson/Maja Ganszyniec,,,
79277019,MÖCKELBY / ODGER,Tables & desks,4265,No old price,TRUE,https://www.ikea.com/sa/en/p/moeckelby-odger-table-and-6-chairs-oak-white-beige-s79277019/,No,"        Table and 6 chairs,          235x100 cm",J Löfgren/J Pettersson/Marcus Arvonen,,74,100
70246089,JANINGE,Café furniture,595,No old price,TRUE,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36,84,38
20273141,HISHULT,Cabinets & cupboards,17,No old price,TRUE,https://www.ikea.com/sa/en/p/hishult-knob-porcelain-white-20273141/,Yes,"        Knob,          23 mm",K Hagberg/M Hagberg,24,,
40348895,ÖSTERNÄS,TV & media furniture,70,No old price,TRUE,https://www.ikea.com/sa/en/p/oesternaes-leather-handle-tanned-leather-40348895/,No,"        Leather handle,          153 mm",H Preutz/A Fredriksson,,,25
60403602,MALM,Chests of drawers & drawer units,495,No old price,TRUE,https://www.ikea.com/sa/en/p/malm-chest-of-6-drawers-white-60403602/,Yes,"        Chest of 6 drawers,          80x123 cm",IKEA of Sweden,48,123,80
39297514,BESTÅ,Cabinets & cupboards,1470,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-and-drawers-white-lappviken-stubbarp-white-s39297514/,Yes,"        TV bench with doors and drawers,          240x42x74 cm",IKEA of Sweden,42,74,240
59239504,NORDLI,Chests of drawers & drawer units,1220,"SR 1,525",TRUE,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-s59239504/,Yes,"        Chest of 8 drawers,          160x54 cm",Ola Wihlborg,47,54,160
