item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
80507627,UTESPELARE,Gaming furniture,SR845,No old price,TRUE,https://www.ikea.com/sa/en/p/utespelare-gaming-desk-black-80507627/,Yes,"Gaming desk, black,",Jon Karlsson,80,78,160
497199,BACKSÄLEN,Armchairs & chaise longues,SR745,No old price,TRUE,https://www.ikea.com/sa/en/p/backsaelen-cover-for-3-seat-sofa-blekinge-white-00497199/,Yes,"Cover for 3-seat sofa, Blekinge white",Andreas Fredriksson,57,9,38
80308699,TROFAST,Nursery furniture,SR65,SR75,TRUE,https://www.ikea.com/sa/en/p/trofast-shelf-light-white-stained-pine-80308699/,No,"Shelf, light white stained pine,",Studio Copenhagen,42,,30
30383484,NORDLI,Chests of drawers & drawer units,SR300,SR475,TRUE,https://www.ikea.com/sa/en/p/nordli-top-and-plinth-white-30383484/,No,"Top and plinth, white,",Ola Wihlborg,47,8,80
20393662,KULLEN,Chests of drawers & drawer units,SR395,No old price,TRUE,https://www.ikea.com/sa/en/p/kullen-chest-of-5-drawers-white-20393662/,Yes,"Chest of 5 drawers, white,",IKEA of Sweden,40,112,70
69247179,HEMNES,Beds,"SR3,495",No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-bed-frame-with-4-storage-boxes-grey-stained-leirsund-s69247179/,Yes,"Bed frame with 4 storage boxes, grey stained/Leirsund,",IKEA of Sweden,,,
10492672,KLEPPSTAD,Beds,SR725,No old price,TRUE,https://www.ikea.com/sa/en/p/kleppstad-bed-frame-white-vissle-beige-10492672/,No,"Bed frame, white/Vissle beige,",Ebba Strandmark,200,27,160
69544725,NÄMMARÖ,Outdoor furniture,"SR1,865",No old price,FALSE,https://www.ikea.com/sa/en/p/naemmaroe-table-4-chairs-w-armrests-outdoor-light-brown-stained-kuddarna-beige-s69544725/,Yes,"Table+4 chairs w armrests, outdoor, light brown stained/Kuddarna beige",Unknown,,,
40491708,HEDEVIKEN,Cabinets & cupboards,SR150,No old price,TRUE,https://www.ikea.com/sa/en/p/hedeviken-drawer-front-dark-brown-stained-oak-veneer-40491708/,No,"Drawer front, dark brown stained oak veneer,",Unknown,,26,60
39392592,VIMLE,Armchairs & chaise longues,"SR1,195",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-footstool-with-storage-hallarp-grey-s39392592/,Yes,"Footstool with storage, Hallarp grey",Unknown,,,
50512277,DUVHOLMEN,Outdoor furniture,SR190,SR145,FALSE,https://www.ikea.com/sa/en/p/duvholmen-inner-cushion-for-sun-lounger-pad-50512277/,No,"Inner cushion for sun lounger pad,",Eva Lilja Löwenhielm,190,76,60
89421846,BESTÅ,"Sideboards, buffets & console tables","SR1,718",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-storage-combination-with-drawers-black-brown-lappviken-stubbarp-light-grey-brown-s89421846/,Yes,"Storage combination with drawers, black-brown/Lappviken/Stubbarp light grey-brown,",Unknown,,,
99440463,BESTÅ,"Sideboards, buffets & console tables","SR2,195",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-storage-combination-with-drawers-sindvik-white-lappviken-stubbarp-white-s99440463/,Yes,"Storage combination with drawers, Sindvik white/Lappviken/Stubbarp white,",IKEA of Sweden/Marcus Arvonen,,,
39011781,MELLTORP,Dining furniture,SR179,No old price,FALSE,https://www.ikea.com/sa/en/p/melltorp-table-white-s39011781/,No,"Table, white,",Lisa Norinder,,,
69409063,GRÖNLID,Sofas,"SR3,545",No old price,TRUE,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-ljungen-medium-grey-s69409063/,No,"3-seat sofa, Ljungen medium grey",Unknown,,,
