Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
3472,79128821,PAX,Wardrobes,2805.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-bergsbo-frosted-glass-s79128821/,Yes,"        Wardrobe,          200x60x201 cm",IKEA of Sweden/K Hagberg/M Hagberg/Ehlén Johansson,60.0,201.0,200.0
612,99291646,KOLBJÖRN,Bookcases & shelving units,450.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-in-outdoor-s99291646/,No,"        Shelving unit in/outdoor,          80x35x162 cm",IKEA of Sweden,35.0,162.0,80.0
1128,79046260,SNILLE,Chairs,125.0,No old price,True,https://www.ikea.com/sa/en/p/snille-swivel-chair-white-s79046260/,No,        Swivel chair,IKEA of Sweden,67.0,,67.0
1047,30428901,EKET,Cabinets & cupboards,45.0,No old price,True,https://www.ikea.com/sa/en/p/eket-glass-door-clear-glass-30428901/,No,"        Glass door,          32x32 cm",304.289.01 Transforms a single open cube in the EKET series into a display case.Protects the things you love and minimises the need to dust.Tempered glass is more impact resistant than ordinary glass and the surface is easy to clean.Handle with care! A damaged edge or scratched surface can cause the glass to suddenly crack or break. Avoid bumps from the side - this is where the glass is most vulnerable.,,32.0,32.0
1837,70253541,AGAM,Children's furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/agam-junior-chair-black-70253541/,No,        Junior chair,IKEA of Sweden,43.0,79.0,41.0
485,79094213,ALGOT,Bookcases & shelving units,271.2,SR 452,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-white-s79094213/,No,"        Wall upright/shelves,          46x41x197 cm",Francis Cayouette,41.0,197.0,46.0
3620,19158156,ELVARLI,Wardrobes,1409.0,"SR 1,785",True,https://www.ikea.com/sa/en/p/elvarli-2-sections-white-bamboo-s19158156/,No,"        2 sections,          135x51x222-350 cm",Ehlén Johansson,50.0,,135.0
3252,40391657,TORNVIKEN,Trolleys,1495.0,No old price,True,https://www.ikea.com/sa/en/p/tornviken-kitchen-island-off-white-oak-40391657/,No,"        Kitchen island,          126x77 cm",Ebba Strandmark,,90.0,77.0
1061,40390766,SULARP,Cabinets & cupboards,45.5,SR 65,True,https://www.ikea.com/sa/en/p/sularp-leg-chrome-plated-40390766/,No,        Leg,Carl Öjerstam,38.0,10.0,
258,450347,KOLBJÖRN,Bookcases & shelving units,345.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-cabinet-in-outdoor-green-00450347/,No,"        Cabinet in/outdoor,          80x81 cm",IKEA of Sweden,35.0,81.0,80.0
